episode,epsilon,time,car_avg,car_min,car_max,her_avg,her_min,her_max
1,0,14.083071947097778,0.03460207612456748,-100,100,-0.4312935606259695,-100,10
2,1,20.287474870681763,-0.09141617601487449,-100,100,-0.1019911148135057,-100,10
3,0.99,24.75146722793579,-0.08982499612823293,-100,100,0.03906478497762667,-100,100
4,0.9801,29.833465099334717,-0.09021406727828746,-100,100,-0.055527189409503006,-100,10
5,0.9702989999999999,37.20247507095337,-0.06336054587547216,-100,10,-0.029512602239131512,-100,100
6,0.96059601,43.24647545814514,-0.09517558254020347,-100,100,0.04130916400121439,-100,100
7,0.9509900498999999,48.16247487068176,-0.08274060095804907,-100,100,-0.16256368179321684,-100,10
8,0.9414801494009999,57.59746527671814,-0.08714263874025378,-100,100,0.05671036705234851,-100,100
9,0.9320653479069899,61.04748725891113,0.009765625,-100,100,-0.23759450633779286,-100,10
10,0.92274469442792,67.36448097229004,-0.05549389567147614,-100,10,-0.09452500472646505,-100,10
11,0.9135172474836407,74.78223538398743,-0.09970775313735603,-100,10,0.012106903678043323,-100,100
12,0.9043820750088043,87.07298636436462,-0.08679762448606669,-100,100,0.06262813964947027,-100,100
13,0.8953382542587163,90.45898699760437,0.03849570624814924,-100,100,-0.35748522716374326,-100,10
14,0.8863848717161291,97.23797345161438,-0.08440046565774156,-100,100,-0.17449945565392133,-100,10
15,0.8775210229989678,104.99098539352417,-0.08801213960546282,-100,100,-0.07740250121986744,-100,10
16,0.8687458127689781,114.30398631095886,-0.08027522935779817,-100,100,-0.09391545120820562,-100,10
17,0.8600583546412883,124.02798557281494,-0.08455382757058735,-100,10,-0.060307367394015036,-100,10
18,0.8514577710948754,132.69592094421387,-0.0673992673992674,-100,100,-0.11906778451614115,-100,10
19,0.8429431933839266,142.00393271446228,-0.10147918816649466,-100,100,0.0157274734497954,-100,10
20,0.8345137614500874,153.64193987846375,-0.08272859216255443,-100,100,0.00910476364297756,-100,100
21,0.8261686238355865,164.19992351531982,-0.08732955415964455,-100,100,-0.020492625684551565,-100,10
22,0.8179069375972307,174.5239222049713,-0.09931506849315068,-100,10,-0.028176942140099887,-100,10
23,0.8097278682212583,184.08293104171753,-0.09455493968046952,-100,100,-0.06785324313791719,-100,10
24,0.8016305895390458,195.20903182029724,-0.06595927731574419,-100,100,-0.11572811568908568,-100,10
25,0.7936142836436553,201.76304602622986,0.010940919037199124,-100,100,-0.24981608483886525,-100,10
26,0.7856781408072188,224.45677495002747,-0.07292370020256583,-100,10,0.03740741232457376,-100,100
27,0.7778213593991465,240.02477264404297,-0.0851063829787234,-100,10,-0.019179159391471794,-100,10
28,0.7700431458051551,251.67876863479614,-0.09595056106684013,-100,100,0.016946178019337624,-100,100
29,0.7623427143471035,266.4347724914551,-0.07819164060278647,-100,10,0.022252505739372347,-100,100
30,0.7547192872036325,280.006799697876,-0.08139368841924889,-100,100,-0.0703532962077636,-100,100
31,0.7471720943315961,292.3387939929962,-0.08394543546694648,-100,10,-0.07319937345654644,-100,10
32,0.7397003733882802,304.25580167770386,-0.09159569339546843,-100,10,0.0206138564414711,-100,100
33,0.7323033696543974,313.7047996520996,-0.04281949934123847,-100,100,-0.23086711183926806,-100,10
34,0.7249803359578534,329.873797416687,-0.09941720946177579,-100,10,-0.04050468479207334,-100,10
35,0.7177305325982748,344.3097996711731,-0.09620088048263492,-100,100,0.05555083198932054,-100,100
36,0.7105532272722921,360.81096601486206,-0.09093809827696235,-100,10,-0.006782965294595874,-100,100
37,0.7034476949995692,377.46596360206604,-0.09368438055241479,-100,100,-0.010636563972105642,-100,100
38,0.6964132180495735,392.2569830417633,-0.08394847300622377,-100,100,-0.1360871423608465,-100,10
39,0.6894490858690777,406.4469749927521,-0.08850907981077369,-100,100,-0.04296161947842619,-100,10
40,0.682554595010387,413.0849668979645,0.012808197246237591,-100,100,-0.38156252741899216,-100,10
41,0.6757290490602831,428.68453216552734,-0.08844159804818542,-100,100,-0.05012419634621254,-100,10
42,0.6689717585696803,437.2765324115753,0.010376134889753566,-100,100,-0.2592561588663783,-100,100
43,0.6622820409839835,456.30852580070496,-0.07977207977207977,-100,100,0.036037316696272116,-100,100
44,0.6556592205741436,471.79152607917786,-0.08216808418624766,-100,100,-0.11183720220408494,-100,100
45,0.6491026283684022,491.0408923625946,-0.07874015748031496,-100,10,0.040523237739847444,-100,100
46,0.6426116020847181,508.80013394355774,-0.08392027573804885,-100,10,0.04400699042231642,-100,100
47,0.6361854860638709,523.8211205005646,-0.0779257580051006,-100,10,-0.03511010791899244,-100,100
48,0.6298236312032323,539.4981229305267,-0.08133561643835617,-100,100,0.047987898611777255,-100,100
49,0.6235253948912,551.8361203670502,-0.09553108808290156,-100,100,-0.015376679375479823,-100,100
50,0.617290140942288,582.2691209316254,-0.07241518036743999,-100,10,0.10908790852335694,-100,100
51,0.6111172395328651,600.6401200294495,-0.08673158855751674,-100,100,-0.03202029444391749,-100,100
52,0.6050060671375365,613.1561326980591,-0.09577922077922078,-100,100,-0.008165301797993083,-100,10
53,0.5989560064661611,621.7271203994751,0.009956192751891677,-100,100,-0.24511481971602891,-100,10
54,0.5929664464014994,637.0672583580017,-0.09823848238482384,-100,10,0.05299492650535614,-100,100
55,0.5870367819374844,650.8352711200714,-0.08184951177484205,-100,100,-0.10474395634419092,-100,10
56,0.5811664141181095,661.1297972202301,-0.04780290494576209,-100,100,-0.16070579521156905,-100,10
57,0.5753547499769285,678.1458032131195,-0.09111253196930946,-100,10,-0.01451799263431207,-100,100
58,0.5696012024771592,697.9627964496613,-0.09054805401111994,-100,10,0.0540068159847026,-100,100
59,0.5639051904523876,707.9277973175049,0.010559662090813094,-100,100,-0.24357820896274238,-100,10
60,0.5582661385478638,728.117960691452,-0.06865861411315957,-100,100,-0.007176104235550166,-100,100
